seed,generation,candidate,initial_frequency,learned_frequency_mean,best_validation_accuracy,selected
42,1,1,0.22999999999999998,0.19267083406448365,0.416141235813367,0
42,1,2,0.41,0.4155706226825714,0.34300126103404793,0
42,1,3,0.5900000000000001,0.5969385862350464,0.31525851197982346,0
42,1,4,0.77,0.7572231292724609,0.31525851197982346,0
42,2,1,0.19267083406448365,0.12287774365395307,0.4287515762925599,1
42,2,2,0.4155706226825714,0.41864431500434873,0.27112232030264816,0
42,2,3,0.46982488828887986,0.4646925091743469,0.35435056746532156,0
42,2,4,0.2314268785234997,0.20751834213733672,0.4262295081967213,0
43,1,1,0.22999999999999998,0.22714303135871888,0.4514501891551072,1
43,1,2,0.41,0.4078655481338501,0.30138713745271123,0
43,1,3,0.5900000000000001,0.5926885485649109,0.2421185372005044,0
43,1,4,0.77,0.749560546875,0.3442622950819672,0
43,2,1,0.22714303135871888,0.2199560284614563,0.4098360655737705,0
43,2,2,0.749560546875,0.7378394603729248,0.29760403530895335,0
43,2,3,0.49653620028808193,0.4830709397792816,0.2862547288776797,0
43,2,4,0.5792687806882565,0.5884264945983887,0.29129886506935687,0
44,1,1,0.22999999999999998,0.23029305636882783,0.4123581336696091,0
44,1,2,0.41,0.41418068408966063,0.2837326607818411,0
44,1,3,0.5900000000000001,0.591137683391571,0.3114754098360656,0
44,1,4,0.77,0.747537350654602,0.3316519546027743,0
44,2,1,0.23029305636882783,0.2268402546644211,0.43253467843631777,1
44,2,2,0.747537350654602,0.725150203704834,0.3354350567465322,0
44,2,3,0.6977086560824352,0.6838453531265258,0.3228247162673392,0
44,2,4,0.8150495581591375,0.7860818147659302,0.3354350567465322,0
