seed,gelu_accuracy,direct_peuaf_accuracy,staged_peuaf_accuracy,evolved_peuaf_accuracy,evolved_minus_direct,evolved_minus_staged,evolved_minus_gelu
42,92.2119140625,84.4970703125,84.2041015625,83.8623046875,-0.634765625,-0.341796875,-8.349609375
43,94.384765625,85.8642578125,84.86328125,86.4501953125,0.5859375,1.5869140625,-7.9345703125
44,94.287109375,88.96484375,88.330078125,89.55078125,0.5859375,1.220703125,-4.736328125
45,94.3115234375,84.1796875,85.0830078125,83.2763671875,-0.9033203125,-1.806640625,-11.03515625
46,84.3505859375,89.2333984375,88.232421875,91.8212890625,2.587890625,3.5888671875,7.470703125
47,92.96875,84.9609375,87.3779296875,87.01171875,2.05078125,-0.3662109375,-5.95703125
48,92.578125,82.2998046875,80.9814453125,88.330078125,6.0302734375,7.3486328125,-4.248046875
49,93.6767578125,80.4443359375,81.0791015625,93.505859375,13.0615234375,12.4267578125,-0.1708984375
50,92.0166015625,82.275390625,85.0341796875,89.111328125,6.8359375,4.0771484375,-2.9052734375
51,84.6923828125,78.5400390625,80.2978515625,81.34765625,2.8076171875,1.0498046875,-3.3447265625
52,92.822265625,86.8896484375,75.927734375,86.376953125,-0.5126953125,10.44921875,-6.4453125
53,93.896484375,87.646484375,80.8349609375,82.32421875,-5.322265625,1.4892578125,-11.572265625
